id,seed_text(prime_text),generated_text,perplexity,readability_(0-10),relevance_(R/I),difficulty_score,difficulty_label,grade_level_(avg),school_grade_level,#_syllables,#_words,#_sentences,#_difficult_words
-,-,"book a motel in montego, ca. no reservation costs. great rates.",-,-,-,82.81,Easy,6.107818181818183,3th and 4th grade,15,11,2,3
-,-,"book at hotel dubai plaza, paris. no reservation costs. great rates.",-,-,-,91.27,Very Easy,5.355272727272727,1th and 2th grade,14,11,2,1
-,-,book a hotel near st andrews ane station. save up to 50% on your reservation.,-,-,-,89.24,Other Value,5.002,2th and 3th grade,20,15,2,3
-,-,"book at the grand hotel marrid, manico. no reservation costs. great rates.",-,-,-,73.85,Fairly Easy,7.2639999999999985,9th and 10th grade,18,12,2,3
-,-,"book at the brookland hotel and suites, san francisco. no reservation costs. great rates.",-,-,-,81.29,Easy,7.644285714285715,7th and 8th grade,20,14,2,3
-,-,"book at hotel carton barcelona, bangkok. no reservation costs. great rates.",-,-,-,82.81,Easy,7.684545454545455,6th and 7th grade,15,11,2,2
-,-,find and compare exclusive deals on hotels in castana and save big!,-,-,-,76.22,Fairly Easy,8.484,8th and 9th grade,17,12,1,3
-,-,"book your hotel in barlinghom, mi. no reservation costs. great rates.",-,-,-,82.81,Easy,6.526545454545454,6th and 7th grade,15,11,2,2
-,-,book a b&b in ballington online. no reservation costs. great rates.,-,-,-,82.81,Easy,6.865818181818183,8th and 9th grade,15,11,2,3
-,-,best rates or refund + $50 coupon. book your barcelona hotel today!,-,-,-,82.81,Easy,6.052545454545455,6th and 7th grade,15,11,2,2
-,-,book a b&b in statton online. no reservation costs. great rates.,-,-,-,82.81,Easy,6.291818181818183,7th and 8th grade,15,11,2,3
-,-,best rates or refund + $50 coupon. book your casino hotel today!,-,-,-,74.35,Fairly Easy,6.447818181818183,6th and 7th grade,16,11,2,3
-,-,"best rates or refund + $50 coupon. save on hotels in marin, india.",-,-,-,90.77,Very Easy,5.364,2th and 3th grade,16,12,2,3
-,-,"book at hotel le marrakech, manchester. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,8.397818181818181,8th and 9th grade,17,11,2,3
-,-,"book at the grand hotel amazan, miami. no reservation costs. great rates.",-,-,-,82.31,Easy,6.183333333333334,5th and 6th grade,17,12,2,2
-,-,best rates or refund + $50 coupon. book your caring hotel today!,-,-,-,74.35,Fairly Easy,6.447818181818183,6th and 7th grade,16,11,2,3
-,-,"best rates on casalona hotel and spa, paris. no reservation costs. great rates.",-,-,-,90.26,Very Easy,6.156769230769231,1th and 2th grade,17,13,2,2
-,-,book your hotel in columbia online. no reservation costs. great rates.,-,-,-,74.35,Fairly Easy,7.627818181818182,6th and 7th grade,17,11,2,3
-,-,"book at hotel melbourne st petersburg, new york. no reservation costs. great rates!",-,-,-,73.34,Fairly Easy,7.8221538461538485,7th and 8th grade,19,13,2,3
-,-,best rates or refund + $50 coupon. book your colomado hotel today!,-,-,-,74.35,Fairly Easy,6.785818181818183,7th and 8th grade,17,11,2,3
-,-,"best rates or refund + $50 coupon. book your burlangham, ireland hotel today!",-,-,-,73.85,Fairly Easy,8.436666666666666,17th and 18th grade,18,12,2,4
-,-,"book a hotel near portland airport, landon. get instant confirmation.",-,-,-,49.48,Other Value,10.396,10th and 11th grade,18,10,2,4
-,-,book your hotel in columbus online. no reservation costs. great rates.,-,-,-,74.35,Fairly Easy,7.677818181818182,6th and 7th grade,16,11,2,3
-,-,book a motel in manchester ny. no reservation costs. great rates.,-,-,-,74.35,Fairly Easy,6.685818181818182,7th and 8th grade,16,11,2,3
-,-,book your hotel in castle cas online. no reservation costs. great rates.,-,-,-,82.31,Easy,6.049333333333332,5th and 6th grade,17,12,2,2
-,-,book a hotel near minter convention center. save up to 50% on your reservation.,-,-,-,81.29,Easy,6.148285714285715,3th and 4th grade,20,14,2,3
-,-,book your hotel in carrow online. no reservation costs. great rates.,-,-,-,74.35,Fairly Easy,7.289818181818181,8th and 9th grade,16,11,2,3
-,-,book your hotel in manis online. no reservation costs. great rates.,-,-,-,74.35,Fairly Easy,7.05581818181818,8th and 9th grade,17,11,2,3
-,-,"book at hotel de manchester, london. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,7.8438181818181825,7th and 8th grade,17,11,2,3
-,-,"book at the barlinghor hotel and spa, london. no reservation costs. great rates.",-,-,-,81.8,Easy,7.1841538461538486,13th and 14th grade,18,13,2,3
-,-,"book a motel in castle convention center, ca. no reservation costs. great rates.",-,-,-,73.34,Fairly Easy,7.969538461538463,6th and 7th grade,20,13,2,4
-,-,"book at hotel colonado, marrakech. no reservation costs. great rates.",-,-,-,66.4,Standard,8.916,8th and 9th grade,16,10,2,3
-,-,book a hotel in central barlin.,-,-,-,73.85,Fairly Easy,6.102666666666666,1th and 2th grade,9,6,1,2
-,-,"book at hotel de marina, barcelona. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,6.9005454545454565,6th and 7th grade,16,11,2,2
-,-,"book at hotel du la menter, marrelech. no reservation costs. great rates.",-,-,-,82.31,Easy,6.183333333333334,5th and 6th grade,17,12,2,2
-,-,"book at the golder hotel, london. no reservation costs. great rates.",-,-,-,74.35,Fairly Easy,8.017090909090907,9th and 10th grade,16,11,2,4
-,-,book your hotel in castle co online. no reservation costs. great rates.,-,-,-,82.31,Easy,5.8773333333333335,6th and 7th grade,17,12,2,2
-,-,best rates or refund +$50 coupon. book your carib bay hotel today!,-,-,-,90.77,Very Easy,4.799333333333333,1th and 2th grade,15,12,2,2
-,-,book a hotel near manchester station. save up to 50% on your reservation.,-,-,-,73.34,Fairly Easy,6.208153846153849,6th and 7th grade,19,13,2,3
