id,seed_text(prime_text),generated_text,perplexity,readability_(0-10),relevance_(R/I),difficulty_score,difficulty_label,school_grade_level,#_syllables,#_words,#_sentences,#_difficult_words,,,
-,-,rates. book a cheap hotel in la online. no reservation costs. great rates.,-,-,-,90.26,Very Easy,1th and 2th grade,17,13,2,2,,,
-,-,book at dream hotel all du plaza hotel no reservation costs. great rates.,-,-,-,83.66,Easy,4th and 5th grade,17,13,1,1,,,
-,-,"compare bermuda motel in barcelona, spain. book at hotel unique, isle of man,",-,-,-,90.26,Very Easy,10th and 11th grade,17,13,2,2,,,
-,-,"prices, co view package deals. best rates or refund + $50 coupon. duangtawan",-,-,-,90.77,Very Easy,7th and 8th grade,15,12,2,1,,,
-,-,"online. no reservation costs. great rates book your hotel in westminster, london. no",-,-,-,73.34,Fairly Easy,11th and 12th grade,20,13,2,4,,,
-,-,motel turtle island best price guarantee! book accommodation in beaver save with expedia's,-,-,-,47.96,Difficult,8th and 9th grade,24,13,2,4,,,
-,-,"best western bowness-on-windermere luxury hotel, new jersey. no reservation costs. great rates. hotels",-,-,-,31.04,Difficult,10th and 11th grade,26,13,2,6,,,
-,-,reservation costs. great rates. best rates on the zuri kumarakom. plan your next,-,-,-,98.72,Very Easy,10th and 11th grade,16,13,2,2,,,
-,-,"rates book your hotel near airport centre, london. no reservation costs harborside princess",-,-,-,64.88,Standard,8th and 9th grade,21,13,2,4,,,
-,-,hotels south plymouth nj. no reservation costs. great rates. tamarindo activity hire deals,-,-,-,75.57,Fairly Easy,8th and 9th grade,20,13,3,4,,,
-,-,"book a budget hotel today! family-friendly rome city cruise facing the beach, rome",-,-,-,73.34,Fairly Easy,7th and 8th grade,20,13,2,3,,,
-,-,great rates. luxury discounts on the palais del ingles. best prices. fees. casino,-,-,-,75.2,Fairly Easy,12th and 13th grade,18,13,1,4,,,
-,-,"great rates. book at the d hotel berlin, york. no reservation costs. great",-,-,-,98.72,Very Easy,7th and 8th grade,16,13,2,1,,,
-,-,book online. best rates or refund + $50 coupon. book your trip to,-,-,-,90.77,Very Easy,4th and 5th grade,15,12,2,2,,,
-,-,save on hotels in new delhi and save up to 50% on your,-,-,-,92.12,Very Easy,0th and 1th grade,15,13,1,2,,,
-,-,"secure and save big! save on galveston, tx hotels. book hotel rooms today!",-,-,-,84.03,Easy,2th and 3th grade,18,13,3,4,,,
-,-,"best prices on this agra hotel. drury inn & resort, karavomylos. no reservation costs.",-,-,-,75.57,Fairly Easy,7th and 8th grade,20,13,3,4,,,
-,-,reservation costs. great rates. secure value with expedias price guarantee. hotels near st.,-,-,-,56.42,Fairly Difficult,10th and 11th grade,22,13,2,5,,,
-,-,"flight deals on hotels online. book a hostel in seoul, uae. expedia price",-,-,-,81.8,Easy,3th and 4th grade,18,13,2,4,,,
-,-,"book accommodation in soho. no reservation costs. great rates. book at hotel metropole,",-,-,-,67.11,Standard,7th and 8th grade,21,13,3,3,,,
-,-,book on hotels in dubrovnik. no reservation costs. great rates. book your hotel,-,-,-,92.49,Very Easy,6th and 7th grade,17,13,3,2,,,
-,-,great rates. hotel at the metropolitan palace on site save with expedia's price,-,-,-,66.74,Standard,6th and 7th grade,20,13,1,2,,,
-,-,save on cheap hotels in az online. no reservation costs. great rates. book,-,-,-,90.26,Very Easy,7th and 8th grade,17,13,2,3,,,
-,-,"hotels. book at premier resort, clinton city. no reservation costs. great rates. book",-,-,-,73.34,Fairly Easy,4th and 5th grade,19,13,2,5,,,
-,-,"find and compare exclusive deals on hotels in cusco, maine and save big!",-,-,-,75.2,Fairly Easy,6th and 7th grade,18,13,1,3,,,
-,-,save on hotels in ho chi minh city. no reservation costs. great rates,-,-,-,98.72,Very Easy,1th and 2th grade,16,13,2,2,,,
-,-,"compare at perfect hotel in vienna book today! old george albany hotel, carlsbad.",-,-,-,56.42,Fairly Difficult,6th and 7th grade,22,13,2,6,,,
-,-,"costs. great rates. 5-star beach resort with wi-fi, valley, san diego beach. s",-,-,-,92.12,Very Easy,8th and 9th grade,16,13,1,3,,,
-,-,house and save big! save on hotels in old town. book accommodation in,-,-,-,84.03,Easy,2th and 3th grade,18,13,3,2,,,
-,-,save on hotels in davao city. find and compare exclusive deals on hotels,-,-,-,81.8,Easy,3th and 4th grade,18,13,2,2,,,
-,-,great up resort in camp padre island and save big! find your great,-,-,-,98.72,Very Easy,1th and 2th grade,15,13,2,1,,,
-,-,"locations best and compare exclusive deals on accommodations in columbia, ontario and save",-,-,-,32.9,Difficult,11th and 12th grade,25,13,1,5,,,
-,-,north cromwell. no reservation costs. great rates. montreal hotels near santiago airport near,-,-,-,56.42,Fairly Difficult,8th and 9th grade,22,13,2,4,,,
-,-,"panoramic leavenworth, board. domingo, bank keswick fort jose park inn, flags book book",-,-,-,90.26,Very Easy,13th and 14th grade,17,13,2,3,,,
-,-,"reservation costs. great rates. best rates on omaha hotel & walking private beach,",-,-,-,50.84,Fairly Difficult,9th and 10th grade,20,12,1,4,,,
-,-,save on hotels in gothenburg book lodging in hong kong. no reservation costs.,-,-,-,81.8,Easy,8th and 9th grade,18,13,2,4,,,
-,-,"book at hotel oudaya, vilamoura. no reservation costs. great rates. el should marco",-,-,-,75.57,Fairly Easy,8th and 9th grade,20,13,3,4,,,
-,-,"texas hotel telford, telford. no reservation costs. great rates. best rates on sultanahmet",-,-,-,84.03,Easy,9th and 10th grade,18,13,3,2,,,
-,-,costs. great rates cheap hotel in adelaide on port of stanbul. no reservation,-,-,-,75.2,Fairly Easy,10th and 11th grade,18,13,1,3,,,
-,-,"rates. book a hotel near st. cloud, florida and save big! best rates",-,-,-,98.72,Very Easy,4th and 5th grade,16,13,2,1,,,
