id,seed_text(prime_text),generated_text,perplexity,readability_(0-10),relevance_(R/I),difficulty_score,difficulty_label,grade_level_(avg),school_grade_level,#_syllables,#_words,#_sentences,#_difficult_words
-,-,"free mist, beirut side. no reservation costs. new i-coun house, ga online. no",-,-,-,100.95,Other Value,4.352769230769232,6th and 7th grade,16,13,3,2
-,-,book a b&b in wokingham online. no reservation costs. great rates. book a,-,-,-,81.8,Easy,5.988153846153848,3th and 4th grade,18,13,2,3
-,-,"north ross find and compare exclusive deals on hotels in i-city, az and",-,-,-,66.74,Standard,8.558153846153846,7th and 8th grade,19,13,1,3
-,-,"great rates. peninsula island resort, south padre island. best price guarantee. pennyhill park",-,-,-,56.42,Fairly Difficult,11.268923076923075,11th and 12th grade,22,13,2,5
-,-,save big on hotels in i-city. save big on hotels near seaworld. best,-,-,-,81.8,Easy,5.238153846153846,1th and 2th grade,18,13,2,3
-,-,"near hotel ca' dogaressa, i-city. no reservation costs. great rates. book your hotel",-,-,-,58.65,Fairly Difficult,7.30748717948718,6th and 7th grade,22,13,3,3
-,-,"best prices, trusted. find hotels in i-city, fl. more choices, best prices, trusted.",-,-,-,75.57,Fairly Easy,7.4295384615384625,6th and 7th grade,19,13,3,4
-,-,stay & airport booking.com's now with your stay in downtown blue city. book,-,-,-,82.31,Easy,5.790666666666668,5th and 6th grade,17,12,2,1
-,-,great guaranteed. book accommodation in st. moritz. no reservation costs. great rates. book,-,-,-,64.88,Standard,9.480153846153849,7th and 8th grade,21,13,2,3
-,-,reservation. kill sanibel. caesarea custer. brooklyn. balconies del gardens mumbai all inclusive resort.,-,-,-,41.36,Difficult,18.27846153846153,10th and 11th grade,24,13,1,9
-,-,"rates. anaheim hotel with wi-fi, next to disneyland resort. mickey and meetings. anaheim",-,-,-,64.88,Standard,10.174923076923076,13th and 14th grade,21,13,2,5
-,-,"and save with expedia. save on niagara falls, hotel! book your hotel in",-,-,-,75.57,Fairly Easy,4.680820512820513,3th and 4th grade,19,13,3,3
-,-,costs. great rates. book at i-city saint-exupery rio valley no reservation costs. great,-,-,-,58.28,Fairly Difficult,11.566153846153847,7th and 8th grade,21,13,1,3
-,-,save big on this vernon hotel! save big on this port au airport,-,-,-,98.72,Very Easy,3.3807692307692307,2th and 3th grade,16,13,2,2
-,-,reservation costs. great rates. book accommodation in brooklyn. no reservation costs. great rates.,-,-,-,56.42,Fairly Difficult,10.848153846153846,13th and 14th grade,22,13,2,3
-,-,"coupon or book at mandolay, freedom savings in save with expedia's price guarantee.",-,-,-,66.74,Standard,10.486153846153844,7th and 8th grade,20,13,1,3
-,-,book your hotel in verona ny online. no reservation costs. great rates. book,-,-,-,90.26,Very Easy,5.670769230769231,4th and 5th grade,17,13,2,2
-,-,"costs. great rates. book at fernie stanford resort, fernie. no reservation costs. great",-,-,-,73.34,Fairly Easy,9.762923076923077,8th and 9th grade,19,13,2,5
-,-,cheap i-city-upon-tyne.<br/>book flight + 50 deals on vacation packages! hotel deals. find things,-,-,-,42.38,Difficult,14.78,10th and 11th grade,22,12,1,3
-,-,guarantee. illetas. village vacation apartment in bergen. no reservation costs. great rates. book,-,-,-,56.42,Fairly Difficult,11.13953846153846,12th and 13th grade,22,13,2,4
-,-,"choices, best low rates! book big in near costa i-city mall now book",-,-,-,90.26,Very Easy,4.998153846153846,1th and 2th grade,17,13,2,3
-,-,"big! prices, easy flight and save with expedia's price guarantee. find over 435,000",-,-,-,90.26,Very Easy,6.746769230769233,10th and 11th grade,17,13,2,2
-,-,"refund + $50 coupon. book your i-city, i-city best rates or refund +",-,-,-,57.43,Fairly Difficult,7.429818181818183,8th and 9th grade,19,11,2,3
-,-,best prices compare hotels on lonavala hotels. best rates or refund + $50 coupon.,-,-,-,73.34,Fairly Easy,8.119538461538463,6th and 7th grade,19,13,2,4
-,-,"rates book at plus hotel tria, i-city book at pocahontas cabins, jasper. no",-,-,-,66.74,Standard,9.498153846153846,7th and 8th grade,20,13,1,3
