seed_text(prime_text),generated _text,perplexity,random,
,"book at the lancant hotel, tokyo. no reservation costs. great rates.
",30.96077533,0.999822511,
,"best rates or refund + $50 coupon. save on hotels in bangkok, texas.
",31.5453149,0.998137784,
,"book at the santi beach hotel, miami beach. no reservation costs. great rates.
",42.40886626,0.994861444,
,"book at the starlon hotel, los angeles. no reservation costs. great rates.
",44.14454142,0.993081494,
,"book your hotel in saint-jark ny online. no reservation costs. great rates.
",42.40784599,0.985851431,
,"best rates or refund + $50 coupon. save on hotels in san jose beach ca.
",58.40231285,0.981699221,
,"book at the long bay hotel, london. no reservation costs
",37.9062842,0.981268677,
,"book at the starlin hotel, tokyo. no reservation costs. great rates.
",30.96077533,0.977888866,
,"book at hotel elee rana, barcelona. no reservation costs. great rates.
",32.99292447,0.97638427,
,"best rates or refund + $50 coupon. book your santa cruz hotel today!
",57.57965118,0.974642093,
,"book a b&b near manchester city center, station. save up to 50% on your reservation.
",70.72906527,0.974587482,
,"book a b&b in barboro online. no reservation costs. great rates.
",28.43178931,0.973280267,
,"book at tokers inn and spa hotel, london. no reservation costs. great rates.
",36.62728875,0.970212507,
,"best rates or refund + $50 coupon. save on hotels in santa bernar,, tx.
",35.11663307,0.959644975,
,"book at the stan in tangara beach hotel & suites, miami. no reservation costs. great rates.
",34.42859247,0.95832802,
,"book a hotel near hond stadium, san antonio  save up to 50% on your reservation.
",67.29750633,0.954576356,
,"book at the stan in the harbor,, los angeles. no reservation costs. great rates.
",34.29285024,0.950775056,
,"best rates or refund + $50 coupon. book your hotel in san juan indine today!
",50.10622069,0.944377753,
,"book at the london inn, new york
",61.01420006,0.94086318,
,"book at the starlon hotel, london. no reservation costs. great rates.
",30.96077533,0.938941008,
,"find ant compare exclusive deals on hotels in santa cruz and save big!
",69.9011125,0.935871849,
,"book your hotel in belfard online. no reservation costs. great rates.
",28.04976334,0.930758264,
,"book at the lancaster hotel, tokyo. no reservation costs. great rates.
",47.48631686,0.930188337,
,"book your hotel in sunset online. no reservation costs. great rates.
",43.54544795,0.929192011,
,"best rates or refund + $50 coupon. book your hotel in bellin today!
",31.96978441,0.928089814,
,"best rates or refund +$50 coupon. book your hotel in belland now!
",29.08262012,0.926550387,
,"book at the langkok hotel, longon. no reservation costs. great rates.
",30.96077533,0.925950525,
,"book at the lanchenter hotel, london. no reservation costs. great rates.
",30.96077533,0.920899157,
,"book your hotel in san francisco online. no reservation costs. great rates.
",45.85021214,0.920113755,
,"book a b&b in brooklin online. no reservation costs. great rates.
",28.43178931,0.919918737,
,"book at the santa barbara hotel, london. no reservation costs. great rates.
",44.24405524,0.916449106,
,"book your hotel in barcelona online. no reservation costs. great rates
",23.85398382,0.89680788,
,"best rates or refund + $50 coupon. save on hotels in bangkok, tn. no reservation costs. great rates.
",31.01601744,0.88778485,
,"save on holeda airport to palace. book now!
",39.99195536,0.885999739,
,"best rates on the palace hotel resort. plan your next trip with expedia.
",51.80105787,0.885364634,
,"book your hotel in san francisco online. no reservation costs. great rates.
",45.85021214,0.881746514,
,"book at hotel experia stadium, paris. no reservation costs. great rates.
",32.99292447,0.880620269,
,"book your hotel in suran online. no reservation costs. great rates.
",28.04976334,0.877569695,
,"best rates on the san francisco hotel. plan your next trip with expedia.
",66.04564462,0.875621936,
,"best rates or refund + $50 coupon. save on hotels in silla meth, fl.
",34.25509953,0.873320944,
,"book a hotel near st arena station, london. save up to 50% on your reservation.
",66.5227598,0.869442466,
,"book at the san francisco hotel, new york. no reservation costs. great rates.
",54.39683475,0.868097053,
,"book a b&b in bangkok online. no reservation costs. great rates.
",35.03024274,0.867720018,
,"best rates on the san antonio hotel. plan your next trip with expedia.
",69.98580184,0.867493392,
,"santorini plaza hotel & casino, rome. no reservation costs. great rates.
",88.73766422,0.86658013,
,"best rates or refund +$50 coupon. book your hotel in san francisco today!
",45.64795583,0.861034081,
