desc_line_seed,generated _text
book at el palacio sports hotel,"lekki <eos> romantic seahorse inn boston hotel, luzern. best prices, trusted. saurkrkur "
"book at shearwater inn, lincoln city. no reservation costs. great rates.","at modera, vannin hotel, hannover moscow. best price guarantee. <eos> hills, tower. "
find things to do in singapore. save with expedia's price guarantee,tomb. newcastle-upon-tyne drag egilsstadir poros. the cabins no reservation costs. great rates. 
find the best room rates today. stay near the airport for less!,"quebec soldotna quezon mobile helicopter/airplane festive transportation thame. joplin. margaret, river schiphol. "
book your hotel in leamington spa online. no reservation costs. great rates.,"a cheap trinidad durango. fiumicino, suites to hostel, laughlin. no reservation costs. "
book your hotel in yangon online. no reservation costs. great rates.,bosnia resort rockville. mack <eos> book at good nite inn palace jaya. 
lowest price guarantee! book your motels online now,"price guarantee! lowest fosshotel book <eos> book at hi-miami hotel, new clemente "
book your hotel in caguas online. no reservation costs. great rates.,"htl, <eos> imerovigli. 58 lodge baku tour. best slovenia. <eos> rhodes club "
"book at olde towne inn, manassas. no reservation costs. great rates.","bluesun samsung ville, st., vale oceanwalk rental astarte rockville, velas city online. "
best rates or refund + $50 coupon. book your beirut hotel today!,"heidelberg. thaphae kuala elena barbados, las vegas. get instant confirmation oakland <eos> "
"find exclusive deals on beachfront hotels in siesta key, florida and save big!","and compare exclusive deals in bod nc and isrotel, hatfield and rockingham "
offering our best price guarantee on cruises departing from texas. book today!,"corinthia curaao, hotel in <eos> best rates rafael at postcard san palm. "
best rates or refund + $50 coupon. shirdi hotels near sai baba temple.,"brexton, hotel, opera. mills nora zaza hotel, athens. george hotel, singapore. sala "
book your hotel in miami beach fl,"flight + hotel - village, roscoff ghost <eos> royal solaris lithonia. <eos> "
book a hotel near the national mall in d.c. save up to 50% on your reservation.,"downtown san diego 39 resort. <eos> book at weatherford, hotel, park. rochester. "
"book at mayfair hotel, saint helier jersey. no reservation costs. great rates.","illinois, hassan, price field, roof agios park, manor hotels. <eos> book accommodation "
"miami beach. best price guarantee! tradewinds apt + hotel, miami beach","shikarbadi chevron suites hotel, dingle. vista. best price guarantee. ibirapuera. starhotels stade "
book a hotel near seaworld orlando. save up to 50% on your reservation.,"on ocala, expedia site. <eos> book your hotel in tarba, online. best "
lowest price guarantee! book your hotel in niagara falls,"corso. free breakfast. <eos> wagner, by horizon hotel, athens. best price guarantee. "
"more choices, best prices, trusted. save on hotels in kuta, indonesia.","tranquilo, bohemia, matylda, legian, things to sag <eos> book your astor, hotel "
"book at isrotel dead sea hotel, ein bokek. no reservation costs. great rates.","perinorte, hotel, absalon caloundra. biking de fuste hotel, frankfurt/main. no reservation costs. "
lowest price guarantee! cheap gold coast accommodation.,playa del carmen hotel naypyidaw <eos> best rates or refund de + 
best rates or refund + $50 coupon. book your trafalgar square hotel today!,"danai fremantle hotel with restaurant arlington, the oper, denison, plan no reservation "
