original_title,3_rand_words,generated _text,original_desc,perplexity,
"['scrap quilt book - millions of titles, new &amp; used']",#NAME?,"h - amazon.com
books on she - amazon.com
books on she - amazon.com
books on she - amazon.com
books o","['free shipping on qualified orders.', 'free shipping on qualified orders.']",53.73283881,
"[""meg and mog collection - save on kids' books for all ages""]",on books -, amazon. car - amffent - save on amazon - amazon. car - amffent - save on amazon - amazon. car - amf,"['free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.']",39.01059342,
"[""bill o'reilly's latest book - millions of titles, new &amp; used""]",used &amp; o'reilly's," handbook - official site
books on she sarascay - save on reference books
books on she sarascay - sa","['free shipping on qualified orders.', 'free shipping on qualified orders.']",60.77449818,
['the package design book - free 2-day shipping w/ amazon prime'],free 2-day w/," ama amazon. official sierlogy
books on sale - save on readers - save on readers - save on readers -","['low prices on millions of books', 'low prices on millions of books']",54.1778875,
['amazon.com - photography free books'],amazon.com books photography," - official site
books on she sarascatic - amazon.com
books on sale on amazon - low priced books for","['buy photography free books at amazon! free shipping on qualified orders.', 'buy photography free books at amazon! free shipping on qualified orders.']",30.01787634,
['book of keys at amazon'],keys book amazon,".com
book of she sareen
books on she sales
books on she sales
books on she sales
books on she sales
","['free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books']",231.6300486,
['jack graham books at amazon - buy now'],books at graham,"s
books on she - amazon.com
books on she - amazon.com
books on she - amazon.com
books on she - amazo","['save on millions of ebooks instant delivery to any device', 'save on millions of ebooks instant delivery to any device', 'save on millions of ebooks instant delivery to any device', 'save on millions of ebooks instant delivery to any device']",62.61818201,
['jim carroll books - free 2-day shipping w/ amazon prime'],jim free carroll,"g
books on she sales
books on she sales
books on she sales
books on she sales
books on she sales
boo","['low prices on millions of books', 'low prices on millions of books', 'low prices on millions of books', 'low prices on millions of books']",304.2836947,
['scrapbooking labels at amazon - official site - amazon.com'],amazon.com - -,"1 year old books
books on sale
books on she - amazon.com
books on cares
books of mandala
books on sh","['buy scrapbooking labels at amazon. free shipping on qualified orders.', 'buy scrapbooking labels at amazon. free shipping on qualified orders.', 'buy scrapbooking labels at amazon. free shipping on qualified orders.', 'buy scrapbooking labels at amazon. free shipping on qualified orders.', 'buy scrapbooking labels at amazon. free shipping on qualified orders.', 'buy scrapbooking labels at amazon. free shipping on qualified orders.', 'buy scrapbooking labels at amazon. free shipping on qualified orders.', 'buy scrapbooking labels at amazon. free shipping on qualified orders.', 'buy scrapbooking labels at amazon. free shipping on qualified orders.', 'buy scrapbooking labels at amazon. free shipping on qualified orders.']",37.25730897,
['butterball cookbook - official site'],#NAME?,"e
books on she spanish - amazon.com
books on she - amazon.com
books on she - amazon.com
books on she","['browse & discover thousands of cooking food & wine book titles, for less.', 'browse & discover thousands of cooking food & wine book titles, for less.', 'browse & discover thousands of cooking food & wine book titles, for less.', 'browse & discover thousands of cooking food & wine book titles, for less.', 'browse & discover thousands of cooking food & wine book titles, for less.', 'browse & discover thousands of cooking food & wine book titles, for less.', 'browse & discover thousands of cooking food & wine book titles, for less.', 'browse & discover thousands of cooking food & wine book titles, for less.', 'browse & discover thousands of cooking food & wine book titles, for less.', 'browse & discover thousands of cooking food & wine book titles, for less.', 'browse & discover thousands of cooking food & wine book titles, for less.']",72.02451956,
['hp probook 4515s battery'],battery hp probook, - save on referen - save on referen - save on referen - save on referen - save on referen - save on,"['top-rated hp probook 4515s batteryfree 2-day shipping w/amazon prime!', 'top-rated hp probook 4515s batteryfree 2-day shipping w/amazon prime!', 'top-rated hp probook 4515s batteryfree 2-day shipping w/amazon prime!', 'top-rated hp probook 4515s battery free 2-day shipping w/amazon prime!', 'top-rated hp probook 4515s batteryfree 2-day shipping w/amazon prime!']",18.39751378,
['devotional books for young women - official site'],official - books," for children - amazon.com
book of she sareen
books on she sales
books on she sales
books on she sal","['browse & discover thousands of teens book titles, for less.', 'browse & discover thousands of teens book titles, for less.', 'browse & discover thousands of teens book titles, for less.', 'browse & discover thousands of teens book titles, for less.', 'browse & discover thousands of teens book titles, for less.', 'browse & discover thousands of teens book titles, for less.', 'browse & discover thousands of teens book titles, for less.', 'browse & discover thousands of teens book titles, for less.']",211.9805515,
['electroplating handbook - shop low prices & top brands'],low - electroplating," - amazon.com
books on card free
books on she sarascay - save on reference - shop low prices & save ","['read customer reviews & find best sellers. free 2-day shipping w/amazon prime.', 'read customer reviews & find best sellers. free 2-day shipping w/amazon prime.', 'read customer reviews & find best sellers. free 2-day shipping w/amazon prime.', 'read customer reviews & find best sellers. free 2-day shipping w/amazon prime.', 'read customer reviews & find best sellers. free 2-day shipping w/amazon prime.', 'read customer reviews & find best sellers. free 2-day shipping w/amazon prime.', 'read customer reviews & find best sellers. free 2-day shipping w/amazon prime.', 'read customer reviews & find best sellers. free 2-day shipping w/amazon prime.', 'read customer reviews & find best sellers. free 2-day shipping w/amazon prime.', 'read customer reviews & find best sellers. free 2-day shipping w/amazon prime.', 'read customer reviews & find best sellers. free 2-day shipping w/amazon prime.']",31.74735548,
['david bowie books at amazon - official site'],david official books,"
books on she sarascay - save on reference - shop low prices & save on real book - amazon.com
books ","['buy david bowie books at amazon. free shipping on qualified orders.', 'buy david bowie books at amazon. free shipping on qualified orders.', 'buy david bowie books at amazon. free shipping on qualified orders.', 'buy david bowie books at amazon. free shipping on qualified orders.', 'buy david bowie books at amazon. free shipping on qualified orders.', 'buy david bowie books at amazon. free shipping on qualified orders.', 'buy david bowie books at amazon. free shipping on qualified orders.', 'buy david bowie books at amazon. free shipping on qualified orders.', 'buy david bowie books at amazon. free shipping on qualified orders.', 'buy david bowie books at amazon. free shipping on qualified orders.', 'buy david bowie books at amazon. free shipping on qualified orders.', 'buy david bowie books at amazon. free shipping on qualified orders.', 'buy david bowie books at amazon. free shipping on qualified orders.', 'buy david bowie books at amazon. free shipping on qualified orders.']",31.76681181,
"[""the best children's books""]",children's books the," book - official kindle - amazon.com
books on card free
books on she sarascay - save on reference - ","[""save on kids' books for all ages.free shipping on qualified orders."", ""save on kids' books for all ages. free shipping on qualified orders."", ""save on kids' books for all ages. free shipping on qualified orders."", ""save on kids' books for all ages.free shipping on qualified orders."", ""save on kids' books for all ages. free shipping on qualified orders."", ""save on kids' books for all ages.free shipping on qualified orders."", ""save on kids' books for all ages. free shipping on qualified orders."", ""save on kids' books for all ages.free shipping on qualified orders."", ""save on kids' books for all ages.free shipping on qualified orders."", ""save on kids' books for all ages. free shipping on qualified orders.""]",33.18363779,
['handbook of epigenetics - only $162.43'],only handbook epigenetics," - official site
books on she sarascati - official site
books on she sarascati - official site
books",['save on science books free shipping on qualified orders.'],38.36012516,
['the book of everything'],the of book,"s
books on amazon - save on amazon.comal
book of selling - save on amazon.comal
book of selling - sa","['by lonely planet free shipping on qualified orders.', 'by lonely planet free shipping on qualified orders.', 'by lonely planet free shipping on qualified orders.', 'by lonely planet free shipping on qualified orders.', 'by lonely planet free shipping on qualified orders.', 'by lonely planet free shipping on qualified orders.', 'by lonely planet free shipping on qualified orders.', 'by lonely planet free shipping on qualified orders.']",58.23958583,
['my book duo 8tb at amazon'],duo at my," bett at amazoeer
books on amazon - save on amazon - save on amazon - save on amazon - save on amazo",['top-rated my book duo 8tbfree 2-day shipping w/amazon prime!'],13.00530426,
['travel log book at amazon - official site'],at amazon book,"s
books on sale
books on she - amazon.com
books on cares
books of mandala
books on she - amazon.com
","['buy travel log book at amazon. free shipping on qualified orders.', 'buy travel log book at amazon. free shipping on qualified orders.', 'buy travel log book at amazon. free shipping on qualified orders.', 'buy travel log book at amazon. free shipping on qualified orders.', 'buy travel log book at amazon. free shipping on qualified orders.', 'buy travel log book at amazon. free shipping on qualified orders.', 'buy travel log book at amazon. free shipping on qualified orders.', 'buy travel log book at amazon. free shipping on qualified orders.', 'buy travel log book at amazon. free shipping on qualified orders.', 'buy travel log book at amazon. free shipping on qualified orders.', 'buy travel log book at amazon. free shipping on qualified orders.', 'buy travel log book at amazon. free shipping on qualified orders.']",48.7483756,
['amc 10 preparation books - free 2-day shipping w/ amazon prime'],w/ amc -, a stie - save - amazolo - save - amazolo - save - amazolo - save - amazolo - save - amazolo - save ,"['low prices on millions of books', 'low prices on millions of books', 'low prices on millions of books', 'low prices on millions of books', 'low prices on millions of books', 'low prices on millions of books', 'low prices on millions of books', 'low prices on millions of books', 'low prices on millions of books', 'low prices on millions of books', 'low prices on millions of books', 'low prices on millions of books']",15.61023433,
['java free books at amazon'],books java at," amazon - amazon.com
books on caro
books on cas - amazon - save on rame
books on shelf
macbook pro -","['buy now! save on millions of ebooksinstant delivery to any device', 'buy now! save on millions of ebooksinstant delivery to any device', 'buy now! save on millions of ebooksinstant delivery to any device', 'buy now! save on millions of ebooksinstant delivery to any device', 'buy now! save on millions of ebooksinstant delivery to any device']",16.40858696,
['blank writing books for kids'],writing books kids, - save on referen - save on referen - save on referen - save on referen - save on referen - save on,"['buy blank writing books for kids at amazon! free shipping on qualified orders.', 'buy blank writing books for kids at amazon! free shipping on qualified orders.', 'buy blank writing books for kids at amazon! free shipping on qualified orders.']",18.39751378,
['origami yoda book 6 - official site'],yoda origami 6," - save on readers - save on reciers - amazon.com
books on cares
books of mandala
books on she - ama","['browse & discover thousands of home & garden book titles, for less.', 'browse & discover thousands of home & garden book titles, for less.', 'browse & discover thousands of home & garden book titles, for less.']",41.8238182,
['the salt lick cookbook - amazon.com'],amazon.com cookbook the," - amazon.com
books on stand on amazon - low priced books for - amazon.com
books on stand on amazon ","['by scott roberts free shipping on qualified orders.', 'by scott roberts free shipping on qualified orders.', 'by scott roberts free shipping on qualified orders.', 'by scott roberts free shipping on qualified orders.']",20.56714336,
['hp elitebook 8440p memory'],8440p memory elitebook," - official site
books on she sarascato - save on reference - amazon.com
books on card for kids - of","['top-rated hp elitebook 8440p memory free 2-day shipping w/amazon prime!', 'top-rated hp elitebook 8440p memory free 2-day shipping w/amazon prime!', 'top-rated hp elitebook 8440p memory free 2-day shipping w/amazon prime!', 'top-rated hp elitebook 8440p memory free 2-day shipping w/amazon prime!', 'top-rated hp elitebook 8440p memory free 2-day shipping w/amazon prime!']",27.01802003,
['the fender stratocaster handbook - shop low prices & top brands'],low - shop, book on amazon - amazon. car - amffent - save on amazon - amazon. car - amffent - save on amazon - ,"['read customer reviews & find best sellers. free 2-day shipping w/amazon prime.', 'read customer reviews & find best sellers. free 2-day shipping w/amazon prime.', 'read customer reviews & find best sellers. free 2-day shipping w/amazon prime.', 'read customer reviews & find best sellers. free 2-day shipping w/amazon prime.', 'read customer reviews & find best sellers. free 2-day shipping w/amazon prime.', 'read customer reviews & find best sellers. free 2-day shipping w/amazon prime.', 'read customer reviews & find best sellers. free 2-day shipping w/amazon prime.', 'read customer reviews & find best sellers. free 2-day shipping w/amazon prime.', 'read customer reviews & find best sellers. free 2-day shipping w/amazon prime.', 'read customer reviews & find best sellers. free 2-day shipping w/amazon prime.', 'read customer reviews & find best sellers. free 2-day shipping w/amazon prime.']",24.89529074,
['halloween color books'],halloween color books," - official site
books on she sarascay - save on reference books
books on she sarascay - save on ref","['free 2-day shipping w/ amazon primelow prices on millions of books', 'free 2-day shipping w/ amazon primelow prices on millions of books', 'free 2-day shipping w/ amazon primelow prices on millions of books', 'free 2-day shipping w/ amazon primelow prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon primelow prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon primelow prices on millions of books']",34.15771583,
['gary chapman audiobook'],gary chapman audiobook," - official site
books on she sarascato - save on reference - amazon.com
books on card for kids - of","['books to suit every method ofstaying healthy', 'books to suit every method of staying healthy', 'books to suit every method ofstaying healthy', 'books to suit every method of staying healthy', 'books to suit every method ofstaying healthy', 'books to suit every method ofstaying healthy']",27.01802003,
['shell for macbook air 11 - amazon.com'],air macbook for, kids - save on reficts - save on reficts - save on reficts - save on reficts - save on reficts - sa,['top-rated shell for macbook air 11 free 2-day shipping w/amazon prime!'],28.66873348,
['banned books poster - amazon - official site - amazon.com'],site books amazon,".com
books on sale on amazon - low prices on rape
books on sale on amazon - low prices on rape
books","['compare prices on banned books poster in wall decor.', 'compare prices on banned books poster in wall decor.', 'compare prices on banned books poster in wall decor.']",31.1119709,
['5th grade grammar workbook'],grammar grade 5th," - amazon.com
book of she book - millions of title - amazon.com
book of she book - millions of title","['save on reference booksfree shipping on qualified orders.', 'save on reference booksfree shipping on qualified orders.', 'save on reference booksfree shipping on qualified orders.', 'save on reference booksfree shipping on qualified orders.', 'save on reference booksfree shipping on qualified orders.', 'save on reference booksfree shipping on qualified orders.']",98.41619258,
['super hero sticker books'],super sticker books,"
shop book shelf spiral - save on referen ol amazon - low prices on nal - amazon.com
books on card b","['buy super hero sticker books at amazon! free shipping on qualified orders.', 'buy super hero sticker books at amazon! free shipping on qualified orders.']",49.14859152,
['best chrome book at amazon | shop computers & add-ons'],amazon shop at," amazon
books on sale
books on she - amazon.com
books on cares
books of mandala
books on she - amazo","['top-rated best chrome book. free 2-day shipping with amazon prime.', 'top-rated best chrome book. free 2-day shipping with amazon prime.', 'top-rated best chrome book. free 2-day shipping with amazon prime.']",35.92050928,
"['pamela evans books - millions of titles, new &amp; used']",books new &amp;," batser - amazon.com
books on she - amazon.com
books on she - amazon.com
books on she - amazon.com
b","['free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.']",48.36348145,
['building code books at amazon - shop books'],code building books," - shop low prices
books on sale on amazon - low prices on nal - amazon.com
books on card bdar - mil","['free 2-day shipping with amazon prime. low prices on millions of books.', 'free 2-day shipping with amazon prime. low prices on millions of books.', 'free 2-day shipping with amazon prime. low prices on millions of books.', 'free 2-day shipping with amazon prime. low prices on millions of books.', 'free 2-day shipping with amazon prime. low prices on millions of books.', 'free 2-day shipping with amazon prime. low prices on millions of books.', 'free 2-day shipping with amazon prime. low prices on millions of books.', 'free 2-day shipping with amazon prime. low prices on millions of books.', 'free 2-day shipping with amazon prime. low prices on millions of books.']",31.87565932,
