original_title,generated _text,original_desc,perplexity,
['things to do in ottawa - make your trip memorable.']," book at hotel ce rosa, paris. no reservation costs. great rates.
book at hotel cara maya, mariville","{'find deals on sightseeing tours, activities & must-see attractions - book today.'}",30.04699508,
['auckland tours - make your trip memorable.'],"
book at hotel cara maya, mariville. no reservation costs. great rates.
book at hotel cara maya, mar","{'find deals on sightseeing tours, activities & must-see attractions - book today.'}",37.52174503,
['gulf shores beach hotels - lowest price guarantee - booking.com']," t best price guarantee.
book at hotel ce rosa, paris. no reservation costs. great rates.
book at ho",{'hotels on the beach in gulf shores'},66.61056902,
['hotels in qubec city - book today with expedia.'], best rates or refund + $50 coupon. book your hotel in san juan dal sem online. no reservation costs,"{""save with expedia's price guarantee. save big on hotels in qubec city.""}",115.4173496,
['hotels in liverpool - save on hotels with expedia - expedia.com']," at book at hotel ce ralal, paris. no reservation costs. great rates.
book at hotel cara maya, mariv",{'best rates or refund + $50 coupon. book your liverpool hotel today!'},30.43801718,
['accommodation in lake garda - lowest price guarantee - booking.com']," and save with expedia.
book at hotel ce la ralla, senini. no reservation costs. great rates.
book a","{'book accommodation in lake garda, italy. no reservation costs. great rates.'}",40.86212138,
['hotel riu bambu all inclusive - expedia.com'],"s fxrr savings. save on hotels in san diego, ca.
book at hotel marina, paris. no reservation costs. ",{'best rates or refund + $50 coupon. expedia price guarantee.'},58.0738219,
['hotels in area via veneto - lowest price guarantee - booking.com']," and save with expedias price geals at expedia.com.
book at hotel ce rosa, paris. no reservation cos",{'book your hotel in area via veneto'},41.78871871,
['st thomas car rental - reserve your car now - expedia.com'],"ing saves. save on hotels in san diego, ca.
book at hotel ce la marina, paris. no reservation costs.",{'save on last minute car rentals with expedia. st. thomas car rental deals'},51.9682416,
['10 hotels in north wildwood nj - lowest price guarantee - booking.com']," t best price guarantee.
book at hotel ce rosa, paris. no reservation costs. great rates
book at hot",{'book your hotel in north wildwood nj online. no reservation costs. great rates.'},58.59760799,
"['creta maris beach resort - all inclusive: 2017 room prices, deals']"," on things to do sniins.
book at hotel ce rosa, paris. no reservation costs. great rates.
book at ho",{'save big on hotels with expedia. best hotel prices guaranteed.'},66.42546232,
['koh samui hotels on the beach - lowest price guarantee - booking.com']," t best price guarantee.
book at hotel ce rosa, paris. no reservation costs. great rates
book at hot",{'book a hotel on the beach in koh samui. get instant confirmation'},58.59760799,
['hotels in san mateo - save on hotels with expedia - expedia.com'], she best rates or refund + $50 coupon. book your hotel in san juan del mn teertk online. best price,{'best rates or refund + $50 coupon. book your san mateo hotel today!'},120.071768,
"['hotels in freeport, tx - get low rates in seconds - expedia.com']"," ata park resorts and save big on hotels in san francisco.
book at hotel la piari, paris. no reserva","{'more choices, best prices, trusted. save on hotels in freeport.'}",88.93715368,
['bed & breakfasts in warwick - lowest price guarantee - booking.com']," t best price guarantee.
book at hotel ce rosa, paris. no reservation costs. great rates
book at hot",{'book a b&b in warwick online. no reservation costs. great rates.'},58.59760799,
['220 new orleans la hotels - half-price hotels - booking.com'],". book at hotel ce rosa, paris. no reservation costs. great rates
book at hotel cara maya, mariville",{'book your hotel in new orleans la'},23.64286357,
['cheap flights to u.s. virgin islands: book cheap airfare & plane'],"en!
book at hotel ce rosa, paris. no reservation costs. great rates.
book at hotel cara maya, marivi",{'compare & pick from 400+ airlines. book your flight w/ expedia today!'},32.12270422,
['gansevoort hotel new york - best price guarantee - booking.com']," and save with expedias price guarantee.
book at hotel cartle, san francisco. no reservation costs. ","{'book at the gansevoort hotel, new york. no reservation costs. great rates.'}",43.41324002,
